"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::Test Mode","Test Modus"
"Customweb_SaferpayCw::Test Terminal ID","Test Terminal ID"
"Customweb_SaferpayCw::Test Transaction","Test Transaction"
"Customweb_SaferpayCw::Thank you for choosing the BillPay Pay by invoice option. Please transfer the amount within the payment deadline to the following account, stating the reference (@ref):","Bedankt voor uw keuze voor de optie BillPay Pay by invoice. Gelieve het bedrag binnen de betalingstermijn over te maken naar de volgende rekening, met vermelding van de referentie (@ref):"
"Customweb_SaferpayCw::The 3-D Secure authentication failed.","De 3-D Secure authenticatie mislukt."
"Customweb_SaferpayCw::The API password as given by Saferpay for the MoTo Account ID.","De API wachtwoord zoals gegeven door Saferpay voor de MoTo account-ID."
"Customweb_SaferpayCw::The API password as given by Saferpay.","API wachtwoord van Saferpay. Om de module te testen, gebruik dan XAjc3Kna"
"Customweb_SaferpayCw::The CVC field is required.","De CVC is een verplicht veld"
"Customweb_SaferpayCw::The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Saferpay. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_SaferpayCw::The IBAN associated with the bank account the customer should pay into.","The IBAN associated with the bank account the customer should pay into."
"Customweb_SaferpayCw::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","De SEPA-machtiging schema niet de tag 'tag!' Bevatten. Deze tag is nodig."
"Customweb_SaferpayCw::The account ID as given by the Saferpay.","Account ID van Saferpay. Meestal de ID heeft het formaat 12345-1234567."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo) and for recurring transactions. This account id is used for the live environment.","De rekening-ID gegeven door Saferpay voor e-mail en telefonische bestellingen (MoTo) en voor terugkerende transacties. Deze rekening id wordt gebruikt voor het live omgeving."
"Customweb_SaferpayCw::The account id given by Saferpay for mail and phone orders (MoTo). This account id is used for the live environment.","De rekening-ID gegeven door Saferpay voor e-mail en telefonische bestellingen (MoTo). Deze rekening id wordt gebruikt voor het levende milieu."
"Customweb_SaferpayCw::The alias could not be found.","The alias could not be found."
"Customweb_SaferpayCw::The alias has been deleted.","De alias is verwijderd."
"Customweb_SaferpayCw::The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Saferpay.","De alias manager kan de klant om te betalen met een vooraf opgeslagen creditcard. De creditcard gegevens worden opgeslagen door Saferpay."
"Customweb_SaferpayCw::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_SaferpayCw::The amount could not be verified.","The amount could not be verified."
"Customweb_SaferpayCw::The amount of !amount is authorized.","Het bedrag van !amount is toegestaan."
"Customweb_SaferpayCw::The amount of !amount is captured.","De hoeveelheid !amount wordt opgevangen."
"Customweb_SaferpayCw::The authorization method '!method' is not supported.","De methode vergunning '!method' wordt niet ondersteund."
"Customweb_SaferpayCw::The authorization was not successful","The authorization was not successful"
"Customweb_SaferpayCw::The backend of Saferpay allows the definition of payment page configurations. This field contains the name of such a configuraiton name. The configuration allows the detailed control over the layout of the payment page.","De backend van Saferpay maakt de definitie van betaalpagina configuraties. Dit veld bevat de naam van een dergelijke configuraiton naam. De configuratie maakt de gedetailleerde controle over de lay-out van de betaalpagina."
"Customweb_SaferpayCw::The billing and shipping address do not match.","Het factuur-en verzendadres niet overeenkomen."
"Customweb_SaferpayCw::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_SaferpayCw::The brand with external name '!key' was not present in the map.","Het merk met externe naam  '!key' was niet in de kaart."
"Customweb_SaferpayCw::The brand with key '!key' was not found in the card information map.","Het merk met de belangrijkste !key'  werd niet gevonden in de kaartinformatie kaart."
"Customweb_SaferpayCw::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","De vangst bedrag (!captureAmount) kan niet hoger zijn dan het toegestane bedrag (!authorizedAmount)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_SaferpayCw::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_SaferpayCw::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_SaferpayCw::The configuration has been saved.","De configuratie is opgeslagen."
"Customweb_SaferpayCw::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_SaferpayCw::The corresponding Saferpay transaction can not be found.","The corresponding Saferpay transaction can not be found."
"Customweb_SaferpayCw::The customer cancelled the transaction.","The customer cancelled the transaction."
"Customweb_SaferpayCw::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_SaferpayCw::The date of birth is required.","The date of birth is required."
"Customweb_SaferpayCw::The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal."
"Customweb_SaferpayCw::The gender is required.","The gender is required."
"Customweb_SaferpayCw::The given CVC code has the wrong length.","De gegeven CVC-code heeft de verkeerde lengte."
"Customweb_SaferpayCw::The given JSON password is empty. Please check the Saferpay settings.","De opgegeven JSON-gebruikersnaam is leeg. Controleer de Saferpay instellingen."
"Customweb_SaferpayCw::The given JSON username is empty. Please check the Saferpay settings.","De opgegeven JSON-gebruikersnaam is leeg. Controleer de Saferpay instellingen."
"Customweb_SaferpayCw::The given MoTo account id is empty. Please check the Saferpay settings.","De gegeven MoTo Account ID is leeg. Controleer de ____ paymentServiceProviderName____ instellingen."
"Customweb_SaferpayCw::The given MoTo terminal Id is empty. Please check the Saferpay settings.","The given MoTo terminal Id is empty. Please check the Saferpay settings."
"Customweb_SaferpayCw::The given account id is empty. Please check the Saferpay settings.","De account-ID gegeven vanaf Saferpay voor bestellingen via e-mail en telefoon (MoTo) en voor terugkerende transacties. Deze rekening id wordt gebruikt voor het levende milieu."
"Customweb_SaferpayCw::The given card number has an invalid check sum.","Het opgegeven kaartnummer heeft een ongeldige checksum."
"Customweb_SaferpayCw::The given card number has an invalid length.","Het opgegeven kaartnummer heeft een ongeldige lengte."
"Customweb_SaferpayCw::The given customer Id is empty. Please check the Saferpay settings.","De gegeven klant Id is leeg. Controleer de Saferpay instellingen."
"Customweb_SaferpayCw::The given hmac key is empty.","The given hmac key is empty."
"Customweb_SaferpayCw::The given identifier is empty.","The given identifier is empty."
"Customweb_SaferpayCw::The given password is empty.","The given password is empty."
"Customweb_SaferpayCw::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_SaferpayCw::The given site number is empty.","The given site number is empty."
"Customweb_SaferpayCw::The given terminal Id is empty. Please check the Saferpay settings.","De opgegeven terminal Id is leeg. Controleer de Saferpay instellingen."
"Customweb_SaferpayCw::The identifier as defined in the backoffice of Saferpay.","The identifier as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed by","De rekening kon niet worden geboekt en bewerkt van Saferpay."
"Customweb_SaferpayCw::The invoice could not be captured and processed. Reason:","De factuur kan niet worden vastgelegd en verwerkt. Reden:"
"Customweb_SaferpayCw::The invoice could not be found.","De factuur kan niet worden gevonden."
"Customweb_SaferpayCw::The invoice has been changed.","De factuur is gewijzigd."
"Customweb_SaferpayCw::The invoice no longer exists.","De factuur bestaat niet meer."
"Customweb_SaferpayCw::The layout does not contain the tag '!layout_tag'.","De lay-out is niet de tag '!layout_tag' bevatten."
"Customweb_SaferpayCw::The live API password as given by Saferpay.","The live API password as given by Saferpay."
"Customweb_SaferpayCw::The live JSON API password can be chosen freely in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","Het live JSON API wachtwoord kan vrij gekozen worden in de backend van MySaferpay via Administration > JSON API. Voor meer informatie kunt u onze installatiehandleiding raadplegen."
"Customweb_SaferpayCw::The live JSON username can be found in the backend of MySaferpay via Administration > JSON API. For further information please consult our set up manual.","De live JSON-gebruikersnaam is te vinden in de backend van MySaferpay via Administration > JSON API. Voor meer informatie kunt u onze installatiehandleiding raadplegen."
"Customweb_SaferpayCw::The live MoTO terminal id as given by the Saferpay.","De live MoTO-terminal id zoals gegeven door de Saferpay."
"Customweb_SaferpayCw::The live MoTo terminal id as given by the Saferpay.","The live MoTo terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The live account ID as given by the Saferpay.","The live account ID as given by the Saferpay."
"Customweb_SaferpayCw::The live customer id can be found in the MySaferpay backend on the top right corner (without the e and the last 3 digits). For more information consult our set up manual.","De live customer id is te vinden in de MySaferpay backend rechtsboven in de rechterbovenhoek (zonder de e en de laatste 3 cijfers). Voor meer informatie raadpleeg onze installatiehandleiding."
"Customweb_SaferpayCw::The live terminal id can be found in the MySaferpay backend via Transactions > Payment. It consists of an eight digit number and can be found on the top left. For further information consult our set up manual. id as given by the Saferpay.","De live terminal id is te vinden in de MySaferpay backend via Transactions > Payment. Het bestaat uit een achtcijferig nummer en bevindt zich linksboven. Voor meer informatie raadpleeg onze set up manual. id zoals opgegeven door de Saferpay."
"Customweb_SaferpayCw::The name of the merchant which should be displayed on the mandate.","De naam van de handelaar die op het mandaat moet worden vermeld."
"Customweb_SaferpayCw::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_SaferpayCw::The number of days by which the payment period should be extended in addition to standard 20 or 30 days.","Aantal dagen waarmee de betaling moet worden verlengd, in aanvulling op de standaard 20 of 30 dagen."
"Customweb_SaferpayCw::The order description is shown to the customer on the payment page. The desribtion should describe the products that are sold.","De beschrijf de orde wordt weergegeven op de betaalpagina. De desribtion beschrijven de producten die worden verkocht."
"Customweb_SaferpayCw::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_SaferpayCw::The payment could not be processed.","De betaling kon niet worden verwerkt."
"Customweb_SaferpayCw::The payment failed because either the card number, the CVC or the expiry date was invalid.","De betaling is mislukt omdat zowel het kaartnummer, de CVC of de vervaldatum was ongeldig."
"Customweb_SaferpayCw::The payment failed.","De betaling is mislukt."
"Customweb_SaferpayCw::The payment form will be displayed after submitting the order.","The payment form will be displayed after submitting the order."
"Customweb_SaferpayCw::The payment has been accepted.","The payment has been accepted."
"Customweb_SaferpayCw::The payment has been denied.","The payment has been denied."
"Customweb_SaferpayCw::The payment method !paymentMethodName does not support the currency '!currency'.","De betaalmethode !paymentMethodName ondersteunt niet de munt '!currency'."
"Customweb_SaferpayCw::The payment method !paymentMethodName is not available in your country ('!country').","De betaalmethode !paymentMethodName is niet beschikbaar in uw land ('!country')."
"Customweb_SaferpayCw::The payment update has been made.","The payment update has been made."
"Customweb_SaferpayCw::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_SaferpayCw::The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Saferpay. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_SaferpayCw::The refund could not be captured.","De terugbetaling kon niet worden geboekt"
"Customweb_SaferpayCw::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_SaferpayCw::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_SaferpayCw::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_SaferpayCw::The shopping cart has been altered!","The shopping cart has been altered!"
"Customweb_SaferpayCw::The signature could not be verified.","The signature could not be verified."
"Customweb_SaferpayCw::The site id (PBX_RANG) as defined in the backoffice of Saferpay.","The site id (PBX_RANG) as defined in the backoffice of Saferpay."
"Customweb_SaferpayCw::The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk","The test API password as given by Saferpay. Password for generic test account: 8e7Yn5yk"
"Customweb_SaferpayCw::The test JSON API password as given by Saferpay.","De test JSON API-wachtwoord zoals gegeven door Saferpay____."
"Customweb_SaferpayCw::The test JSON username given by the Saferpay.","De test JSON-gebruikersnaam gegeven door de Saferpay."
"Customweb_SaferpayCw::The test MoTO terminal id as given by the Saferpay.","The test MoTO terminal id as given by the Saferpay."
"Customweb_SaferpayCw::The test MoTo terminal id as given by the Saferpay.","De test MoTo-terminal id zoals gegeven door de Saferpay."
"Customweb_SaferpayCw::The test account ID as given by the Saferpay. Generic test account: 401860-17795278","The test account ID as given by the Saferpay. Generic test account: 401860-17795278"
"Customweb_SaferpayCw::The test customer id as given by the Saferpay.","De testklant id zoals gegeven door de Saferpay."
"Customweb_SaferpayCw::The test terminal id as given by the Saferpay.","De testterminal id zoals gegeven door de Saferpay."
"Customweb_SaferpayCw::The total amount of the transaction was captured.","Het totale bedrag van de transactie werd geboekt."
"Customweb_SaferpayCw::The total amount of the transaction was refunded. Refund transaction ID: '!paymentId' .","Het totale bedrag van de transactie werd terugbetaald. Restitutie transactie ID: '!paymentId'."
"Customweb_SaferpayCw::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Het totaal terug te betalen bedrag kan niet hoger zijn dan de vastgelegde bedrag"
"Customweb_SaferpayCw::The transaction cannot be cancelled online.","The transaction cannot be cancelled online."
"Customweb_SaferpayCw::The transaction cannot be captured online.","The transaction cannot be captured online."
"Customweb_SaferpayCw::The transaction cannot be refunded online.","The transaction cannot be refunded online."
"Customweb_SaferpayCw::The transaction could not be captured.","De transactie kon niet worden geboekt"
"Customweb_SaferpayCw::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_SaferpayCw::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_SaferpayCw::The uncertain transaction was accepted.","De ongedekte transactie werd aanvaard."
"Customweb_SaferpayCw::The uncertain transaction was finally declined.","De ongedekte transactie werd uiteindelijk verworpen."
"Customweb_SaferpayCw::The whole transaction is cancelled.","De gehele transactie is geannuleerd."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment.","There has been a problem during the processing of your payment."
"Customweb_SaferpayCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Er is een probleem bij de verwerking van uw betaling. Neem contact op met de winkel eigenaar om ervoor te zorgen dat uw bestelling succesvol geplaatst wordt."
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: !reason"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1"
"Customweb_SaferpayCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s"
"Customweb_SaferpayCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Customweb_SaferpayCw::There seems to be a problem with the Saferpay module.","Er lijkt een probleem met de Saferpay module zijn."
"Customweb_SaferpayCw::There was an error validating the login and password.","There was an error validating the login and password."
"Customweb_SaferpayCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"Customweb_SaferpayCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Saferpay account."
"Customweb_SaferpayCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_SaferpayCw::This setting enables the restriction of the allowed brands.","deze instelling maakt de beperking van de toegestane merken mogelijk."
"Customweb_SaferpayCw::This status is set, when the payment was successfull and it is authorized.","Deze status wordt ingesteld, wanneer de betaling is gelukt en het is toegelaten."
"Customweb_SaferpayCw::This transaction is already closed for further captures.","Deze transactie is gesloten en geen verdere gegevens worden gemaakt."
"Customweb_SaferpayCw::This transaction is already closed for further refunds.","Deze transactie werd gesloten voor meer credits."
"Customweb_SaferpayCw::This transaction no longer exists.","This transaction no longer exists."
"Customweb_SaferpayCw::Timeout for pending payments (min)","Time-out voor lopende betalingen (min)"
"Customweb_SaferpayCw::Titel","Titel"
"Customweb_SaferpayCw::Title","Title"
"Customweb_SaferpayCw::Title of the payment method","Naam van de betalingsmethode"
"Customweb_SaferpayCw::Total","Totaal"
"Customweb_SaferpayCw::Total Shipping Charges","Totale verzendkosten"
"Customweb_SaferpayCw::Track order history","Track order history"
"Customweb_SaferpayCw::Transaction","Transaction"
"Customweb_SaferpayCw::Transaction Authorized","Geautoriseerde transactie"
"Customweb_SaferpayCw::Transaction Cancelled","Transactie geannuleerd"
"Customweb_SaferpayCw::Transaction Captured","Transactie opgenomen"
"Customweb_SaferpayCw::Transaction History","Transaction History"
"Customweb_SaferpayCw::Transaction Id","Transaction Id"
"Customweb_SaferpayCw::Transaction Paid","Transactie betaald"
"Customweb_SaferpayCw::Transaction Uncertain","Transactie is onzeker"
"Customweb_SaferpayCw::Transaction Updates","Transaction Updates"
"Customweb_SaferpayCw::Transaction aborted","Transactie afgebroken"
"Customweb_SaferpayCw::Transaction aborted by the customer.","Transactie afgebroken door de klant."
"Customweb_SaferpayCw::Transaction blocked by risk management.","Transactie geblokkeerd door risicomanagement."
"Customweb_SaferpayCw::Transaction cancelled","Transactie geannuleerd"
"Customweb_SaferpayCw::Transaction cancelled by the customer.","Transactie geannuleerd door de klant."
"Customweb_SaferpayCw::Transaction cancelled successfully","Transactie met succes geannuleerd"
"Customweb_SaferpayCw::Transaction captured successfully","Transactie met succes gevangen"
"Customweb_SaferpayCw::Transaction could not be canceled.","Transactie kon niet worden geannuleerd"
"Customweb_SaferpayCw::Transaction declined.","De transactie is afgenomen."
"Customweb_SaferpayCw::Transaction history","Overzicht transactie"
"Customweb_SaferpayCw::Transaction in wrong state.","Transactie in verkeerde staat."
"Customweb_SaferpayCw::Transaction not found.","Transactie niet gevonden."
"Customweb_SaferpayCw::Transaction not started by the customer.","Transactie niet gestart door de klant."
"Customweb_SaferpayCw::Transaction was authorized over the deferred authorization mechanism.","Transactie werd toegestaan ​​over de uitgestelde autorisatiemechanisme."
"Customweb_SaferpayCw::Transactions","Transactions"
"Customweb_SaferpayCw::Unable to resolve card type id '@id' to a payment method name.","Niet in staat om de ID van de kaart type '@id 'besluiten tot een betaalmethode naam."
"Customweb_SaferpayCw::Unable to resolve payment method id '@id' to a payment method name.","Kan betaalmethode id '@id' besluiten tot een betaalmethode naam."
"Customweb_SaferpayCw::Unable to save the invoice.","Niet in staat om de factuur op te slaan."
"Customweb_SaferpayCw::Uncertain Status","Uncertain Status"
"Customweb_SaferpayCw::Uncertain transactions","Onzekere transacties"
"Customweb_SaferpayCw::Unknown alias or already used.","Onbekende of reeds gebruikte alias."
"Customweb_SaferpayCw::Unkown alias or already used.","Unkown alias or already used."
"Customweb_SaferpayCw::Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_SaferpayCw::Update","Update"
"Customweb_SaferpayCw::Update Qty's","Hoeveelheden update"
"Customweb_SaferpayCw::Update interval for payments","Update Intervall voor betalingen"
"Customweb_SaferpayCw::Use Base Currency","Use Base Currency"
"Customweb_SaferpayCw::Use CVC for card verification (recommended)","Gebruik CVC voor kaart verificatie (aanbevolen)"
"Customweb_SaferpayCw::Use Default","Gebruik standaardinstellingen"
"Customweb_SaferpayCw::Use MoTo Account for Alias Transactions","Gebruik MoTo account voor Alias ​​Transacties"
"Customweb_SaferpayCw::Use MoTo account","Gebruik MoTo rekening"
"Customweb_SaferpayCw::Use base currency","Use base currency"
"Customweb_SaferpayCw::Use normal account (recommended)","Gebruik normale rekening (aanbevolen)"
"Customweb_SaferpayCw::Use shipping address","Gebruik verzendadres"
"Customweb_SaferpayCw::Use the MoTo Account for recurring payments using a stored alias. In this way no 3D Secure verification is performed","Gebruik de MoTo account voor terugkerende betalingen met behulp van een opgeslagen alias. Op deze manier geen 3D Secure verificatie wordt uitgevoerd"
"Customweb_SaferpayCw::V Pay","V Pay"
"Customweb_SaferpayCw::VISA","VISA"
"Customweb_SaferpayCw::Validation","Bevestiging"
"Customweb_SaferpayCw::Version","Version"
"Customweb_SaferpayCw::View","View"
"Customweb_SaferpayCw::Visa","Visa"
"Customweb_SaferpayCw::Wait On Success Page","Wait On Success Page"
"Customweb_SaferpayCw::Wallet used","Portemonnee gebruikt"
"Customweb_SaferpayCw::We cannot get the transaction instance.","We cannot get the transaction instance."
"Customweb_SaferpayCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","We ervaren een probleem met uw betaling extensie van sellxed. Voor meer informatie kunt u terecht op de configuratie pagina van de plugin."
"Customweb_SaferpayCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Saferpay is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_SaferpayCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento."
"Customweb_SaferpayCw::Year","Jaar"
"Customweb_SaferpayCw::Yes","Ja"
"Customweb_SaferpayCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_SaferpayCw::You can allow the customers to manage/delete their aliases in the their account.","You can allow the customers to manage/delete their aliases in the their account."
"Customweb_SaferpayCw::You can decide on the order status new orders should have after they are processed successfully.","Definiër de order status, die met succes werden verwerkt."
"Customweb_SaferpayCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definiër de order status, die een onzekere status hebben."
"Customweb_SaferpayCw::You can define here a CSS URL which is included in the payment page. The CSS can only be used, when it is hosted on a server which has SSL enabled.","U kunt hier een CSS URL definiëren die is opgenomen in de betaalpagina. De CSS kan alleen gebruikt worden wanneer deze gehost wordt op een server met SSL."
"Customweb_SaferpayCw::You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","You can define the payment page configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used."
"Customweb_SaferpayCw::You can define the paymentpage configuration name. You can create new configuration in the backend of Saferpay. If the configuration is not found by Saferpay, the default configuration is used.","U kunt de naam van de configuratie van de betaalpagina definiëren. U kunt een nieuwe configuratie aanmaken in de backend van Saferpay. Als de configuratie niet wordt gevonden door Saferpay, wordt de standaard configuratie gebruikt."
"Customweb_SaferpayCw::You can enable approval mode for the approval by Billpay","U kunt de machtiging modus voor de goedkeuring van BillPay activeren."
"Customweb_SaferpayCw::You can specify the order status for new orders that have an uncertain authorisation status.","Deze status wordt ingesteld, wanneer de betaling is gelukt en het is toegelaten."
"Customweb_SaferpayCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","U kunt de status van de bestelling voor bestellingen die ofwel zijn vastgelegd direct na de bestelling of handmatig in de backend specificeren."
"Customweb_SaferpayCw::You can specify the order status when an order is cancelled.","U kunt de status van de bestelling aangeven wanneer een bestelling wordt geannuleerd."
"Customweb_SaferpayCw::You created the order.","You created the order."
"Customweb_SaferpayCw::You have no stored aliases.","You have no stored aliases."
"Customweb_SaferpayCw::You have successfully cancelled the payment.","You have successfully cancelled the payment."
"Customweb_SaferpayCw::You have to agree to the general terms.","U moet akkoord gaan met de algemene voorwaarden"
"Customweb_SaferpayCw::You have to enter a card number.","Je moet een kaartnummer in te voeren."
"Customweb_SaferpayCw::You have to enter bank code of your bank.","Je moet bankcode van uw bank in te voeren."
"Customweb_SaferpayCw::You have to enter commercial number of you company.","Je moet commerciële aantal van jullie bedrijf in te voeren."
"Customweb_SaferpayCw::You have to enter either the CVC code or the issue number of your card.","Je moet ofwel de CVC-code of het nummer van afgifte van uw kaart in te voeren."
"Customweb_SaferpayCw::You have to enter sales tax number of you company.","Je moet omzetbelasting aantal van jullie bedrijf in te voeren."
"Customweb_SaferpayCw::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_SaferpayCw::You have to enter the BIC.","Je moet de BIC in te voeren."
"Customweb_SaferpayCw::You have to enter the CVC code from your card.","U moet de CVC uw kaart in te voeren."
"Customweb_SaferpayCw::You have to enter the IBAN.","Je moet de IBAN in te voeren."
"Customweb_SaferpayCw::You have to enter the account holder name on the card.","Je moet de naam rekeninghouder op de kaart in te voeren."
"Customweb_SaferpayCw::You have to enter the account holder name.","Je moet de naam van de rekeninghouder te voeren."
"Customweb_SaferpayCw::You have to enter the card holder name on the card.","U moet de kaarthouder in te voeren."
"Customweb_SaferpayCw::You have to enter the location of your bank.","Je moet de locatie van uw bank in te voeren."
"Customweb_SaferpayCw::You have to enter the name of the account owner.","Je moet de rekeninghouder te voeren."
"Customweb_SaferpayCw::You have to enter the name of your bank.","Je moet de naam van uw bank in te voeren."
"Customweb_SaferpayCw::You have to enter your IBAN Number.","Je moet voer uw IBAN-nummer."
"Customweb_SaferpayCw::You have to enter your bank account number.","Je moet het rekeningnummer van uw bankrekening in te voeren."
"Customweb_SaferpayCw::You have to enter your social security number.","U moet uw sofi-nummer in te voeren."
"Customweb_SaferpayCw::You may choose one of the cards you paid before on this site.","U kunt kiezen uit een eerder gebruikte kaart:"
"Customweb_SaferpayCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_SaferpayCw::You will be redirect to the order confirmation page.","U wordt omgeleid naar de pagina orderbevestiging."
"Customweb_SaferpayCw::Your 3ds check failed.","Uw 3ds controle is mislukt."
"Customweb_SaferpayCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Uw browser staat niet toe dat de uitvoering van JavaScript. Gelieve JavaScript te activeren in uw browser en herlaad deze pagina."
"Customweb_SaferpayCw::Your card is expired.","Uw kaart is verlopen."
"Customweb_SaferpayCw::Your checkout session expired.","Your checkout session expired."
"Customweb_SaferpayCw::Your order description","Uw bestelling beschrijving"
